
"Rank","Name","Symbol","revenue_ttm","price (USD)","country"
"136","Adani Transmission","ADANITRANS.NS","1506348879","28.67","India"
"137","Indian Overseas Bank","IOB.NS","1500158820","0.21","India"
"138","Dabur","DABUR.NS","1457912356","6.45","India"
"139","Dixon Technologies","DIXON.NS","1430908716","46.16","India"
"140","Hindustan Construction Company","HCC.NS","1427866140","0.16","India"
"141","Alkem Laboratories","ALKEM.NS","1423843254","37.41","India"
"142","Mindtree","MINDTREE.NS","1408033944","38.01","India"
"143","Bharat Forge","BHARATFORG.NS","1397646181","8.21","India"
"144","Eicher Motors","EICHERMOT.NS","1353766334","36.01","India"
"145","Yes Bank","YESBANK.NS","1348921042","0.16","India"
"146","SBI Card","SBICARD.NS","1334557784","9.81","India"
"147","Pidilite","PIDILITIND.NS","1327721049","26.7","India"
"148","United Spirits","UNITDSPR.BO","1299550468","9.75","India"
"149","DCM Shriram","DCMSHRIRAM.NS","1287384022","12.03","India"
"150","Marico","MARICO.NS","1273744604","6.1","India"
"151","Varun Beverages","VBL.NS","1258342326","9.78","India"
"152","Shriram Transport Finance","SRTRANSFIN.NS","1243181525","15.53","India"
"153","Lodha Group","LODHA.NS","1232813917","13.36","India"
"154","NHPC Limited","NHPC.NS","1231598534","0.41","India"
"155","CEAT","CEATLTD.NS","1223552692","11.74","India"
"156","Divis Laboratories","DIVISLAB.NS","1198443083","45.12","India"
"157","Mahindra CIE","MAHINDCIE.NS","1174911685","2.98","India"
"158","Berger Paints","BERGEPAINT.NS","1172658276","7.35","India"
"159","Amara Raja Batteries","AMARAJABAT.NS","1164021795","5.94","India"
"160","Future Retail","FRETAIL.NS","1141290288","0.09","India"
"161","Federal Bank","FEDERALBNK.NS","1137351519","1.15","India"
"162","Torrent Pharmaceuticals","TORNTPHARM.NS","1126871066","36.27","India"
"163","Bank of Maharashtra","MAHABANK.NS","1119231082","0.2","India"
"164","Minda Industries","MINDAIND.NS","1111727742","11.96","India"
"165","WNS","WNS","1109779000","74.11","India"
"166","Balkrishna Industries","BALKRISIND.NS","1098653823","27.5","India"
"167","Zee Entertainment","ZEEL.NS","1095355903","2.74","India"
"168","Biocon","BIOCON.NS","1094398880","3.94","India"
"169","JSW Energy","JSWENERGY.NS","1092051972","2.79","India"
"170","Arvind","ARVIND.NS","1074688604","1.19","India"
"171","JK Cement","JKCEMENT.NS","1068585920","26.91","India"
"172","Muthoot Finance","MUTHOOTFIN.NS","1067792262","12.27","India"
"173","PDS Multinational","PDSMFL.NS","1054354491","22.65","India"
"174","Voltas","VOLTAS.NS","1047736554","12.31","India"
"175","Surya Roshni","SURYAROSNI.NS","1033719949","4.67","India"
"176","Supreme Industries","SUPREMEIND.NS","1033201012","21.75","India"
"177","Indraprastha Gas","IGL.NS","1030585154","4.58","India"
"178","Container Corporation of India","CONCOR.NS","1023905476","7.72","India"
"179","NBCC India","NBCC.NS","1012661052","0.37","India"
"180","Endurance Technologies","ENDURANCE.NS","1009912521","17.48","India"
"181","Escorts Limited","ESCORTS.NS","968623464","18.89","India"
"182","ABB India","ABB.NS","964037202","28.88","India"
"183","Jain Irrigation Systems","JISLDVREQS.NS","952147289","0.25","India"
"184","Jaypee Group","JPASSOCIAT.NS","940891391","0.09","India"
"185","Aarti Industries","AARTIIND.NS","936764391","8.91","India"
"186","Reliance Power","RPOWER.NS","935515357","0.15","India"
"187","Tata Steel Long Products","TATASTLLP.NS","910123277","7.53","India"
"188","Deepak Nitrite","DEEPAKNTR.NS","909984759","22.74","India"
"189","RBL Bank","RBLBANK.NS","895356956","1.08","India"
"190","Polyplex","POLYPLEX.NS","886016000","29.72","India"
"191","Suzlon","SUZLON.NS","870189353","0.09","India"
"192","SpiceJet","SPICEJET.NS","866675782","0.48","India"
"193","Coforge","COFORGE.NS","860530337","46.66","India"
"194","Prestige Group","PRESTIGE.NS","853505296","5.02","India"
"195","Hatsun Agro Products","HATSUN.NS","852624339","11.59","India"
"196","Hexaware Technologies","HEXAWARE.NS","840907433","5.96","India"
"197","Nerolac Paints","KANSAINER.NS","840400443","4.79","India"
"198","Whirlpool India","WHIRLPOOL.NS","828964861","19.46","India"
"199","Thermax","THERMAX.NS","818989346","25.97","India"
"200","Jubilant Pharmova","JUBLPHARMA.NS","811057233","4.4","India"
"201","Cummins India","CUMMINSIND.NS","810752056","12.62","India"
"202","Blue Star","BLUESTARCO.NS","807193662","11.81","India"
"203","Varroc","VARROC.NS","794623245","3.81","India"
"204","Ashoka Buildcon","ASHOKA.NS","794571589","0.93","India"
"205","Cholamandalam Investment and Finance","CHOLAFIN.NS","793883686","8","India"
"206","Ramco Cements","RAMCOCEM.NS","788699768","7.89","India"
"207","Network18","NETWORK18.NS","786594684","0.86","India"
"208","Jindal Poly Films","JINDALPOLY.NS","786043536","12.91","India"
"209","Ipca Laboratories","IPCALAB.NS","780767120","11.26","India"
"210","United Breweries","UBL.NS","780750711","18.38","India"
"211","Sterlite Technologies","STLTECH.NS","769820871","1.91","India"
"212","Schaeffler India","SCHAEFFLER.NS","766643365","28.5","India"
"213","Fortis Healthcare","FORTIS.NS","765417364","2.91","India"
"214","DLF","DLF.NS","764903864","4.02","India"
"215","Persistent Systems","PERSISTENT.NS","763784936","44.4","India"
"216","LIC Housing Finance","LICHSGFIN.NS","763001688","4.14","India"
"217","GMR Group","GMRINFRA.NS","744216325","0.44","India"
"218","CG Power and Industrial Solutions","CGPOWER.NS","744018374","2.39","India"
"219","ReNew Power","RNW","733939608","6.06","India"
"220","Godawari Power &amp; Ispat","GPIL.NS","718065640","3.22","India"
"221","Alembic Pharmaceuticals","APLLTD.NS","709941128","9.2","India"
"222","PI Industries","PIIND.NS","709124753","33.51","India"
"223","Electrosteel Castings","ELECTCAST.NS","706098254","0.41","India"
"224","sterling &amp; wilson solar","SWSOLAR.NS","696433290","3.9","India"
"225","Bajaj Electricals","BAJAJELEC.NS","688825093","12.03","India"
"226","Adani Green Energy","ADANIGREEN.NS","686524288","24.47","India"
"227","Atul","ATUL.NS","679765243","101.75","India"
"228","Colgate-Palmolive India","COLPAL.NS","678055974","19.12","India"
"229","AGC Networks","AGCNET.NS","673377590","12.11","India"
"230","Abbott India","ABBOTINDIA.NS","658367024","232.77","India"
"231","Laurus Labs","LAURUSLABS.NS","653946648","5.91","India"
"232","Hinduja Global Solutions","HGS.NS","643662381","13.79","India"
"233","Bayer Crop Science","BAYERCROP.NS","634330860","63.3","India"
"234","Paytm","PAYTM.NS","629760905","8.96","India"
"235","Finolex Industries","FINPIPE.NS","620899668","1.72","India"
"236","Cyient","CYIENT.NS","606778274","9.74","India"
"237","Delhivery","DELHIVERY.NS","605883723","6.37","India"
"238","Trent Limited","TRENT.NS","595109771","13.45","India"
"239","Blue Dart Express","BLUEDART.NS","590121033","96.26","India"
"240","Gland Pharma","GLAND.NS","589028632","33.95","India"
"241","Jubilant FoodWorks","JUBLFOOD.NS","588171414","6.54","India"
"242","Astral Poly Technik","ASTRAL.NS","587187976","20.47","India"
"243","Bajaj Holdings &amp; Investment","BAJAJHLDNG.NS","585656355","58.62","India"
"244","BEML","BEML.NS","578727138","16.01","India"
"245","Zensar","ZENSARTECH.NS","567759490","3.41","India"
"246","AU Small Finance Bank","AUBANK.NS","561107077","7.3","India"
"247","Amber Enterprises India","AMBER.NS","560646465","30.08","India"
"248","Phillips Carbon Black","PHILIPCARB.NS","551358729","3.24","India"
"249","Mahindra Logistics","MAHLOG.NS","546337964","5.84","India"
"250","Zomato","ZOMATO.NS","541301317","0.76","India"
"251","Indorama Synthetics","INDORAMA.NS","539804182","0.81","India"
"252","Edelweiss Financial Services","EDELWEISS.NS","536905197","0.65","India"
"253","Tamil Nadu Newsprint and Papers Limited","TNPL.NS","530549838","2.35","India"
"254","Wheels India","WHEELS.NS","530349308","7.85","India"
"255","Gujarat Fluorochemicals","FLUOROCHEM.NS","528952786","34.67","India"
"256","Prakash Industries","PRAKASH.NS","525412442","0.66","India"
"257","Page Industries","PAGEIND.NS","519750111","506.52","India"
"258","The Tinplate Company Of India","TINPLATE.NS","516445728","3.99","India"
"259","Filatex India","FILATEX.NS","511987318","1.22","India"
"260","Procter &amp; Gamble India","PGHH.NS","511901640","166.59","India"
"261","Finolex Cables","FINCABLES.NS","503680841","4.79","India"
"262","Gujarat Alkalies and Chemicals","GUJALKALI.NS","502518358","8.97","India"
"263","Kajaria Ceramics","KAJARIACER.NS","495412427","11.82","India"
"264","Galaxy Surfactants","GALAXYSURF.NS","492965775","36.99","India"
"265","SKF India","SKFINDIA.NS","490320463","44.53","India"
"266","Nykaa","NYKAA.NS","486729381","18.47","India"
"267","Knr Constructions","KNRCON.NS","482099079","2.96","India"
"268","Time Technoplast","TIMETECHNO.NS","480664984","1.34","India"
"269","Punjab &amp; Sind Bank","PSB.NS","480492145","0.18","India"
"270","Sun TV Network","SUNTV.NS","479888599","5.29","India"
"271","Mahanagar Gas","MGL.NS","475890811","9.72","India"
"272","Hyderabad Industries Limited","HIL.NS","471009424","44.51","India"
"273","Karur Vysya Bank","KARURVYSYA.NS","468296569","0.57","India"
"274","V-Guard Industries","VGUARD.NS","467694921","2.75","India"
"275","IFB Industries","IFBIND.NS","456979839","11.66","India"
"276","West Coast Paper Mills","WSTCSTPAPR.NS","451473760","4.19","India"
"277","Prime Focus","PFOCUS.NS","450288916","0.8","India"
"278","Karnataka Bank","KTKBANK.NS","448342855","0.82","India"
"279","3M India","3MINDIA.NS","446246526","282.94","India"
"280","Carborundum Universal","CARBORUNIV.NS","440188998","9.34","India"
"281","RattanIndia Power","RTNPOWER.NS","436263343","0.04","India"
"282","Transport Corporation of India","TCI.NS","435664568","8.72","India"
"283","Force Motors","FORCEMOT.NS","433528750","13.25","India"
"284","TANLA","TANLA.NS","428947716","12.96","India"
"285","Emami","EMAMILTD.NS","427277495","5.2","India"
"286","JBM Auto","JBMA.NS","426630706","5.49","India"
"287","Asahi India Glass","ASAHIINDIA.NS","423035538","6.87","India"
"288","Ratnamani Metals &amp; Tubes","RATNAMANI.NS","419568598","31.35","India"
"289","IIFL Finance","IIFL.NS","415974597","4.02","India"
"290","Strides Pharma","STAR.NS","410673266","4.43","India"
"291","Sumitomo Chemical
 India","SUMICHEM.NS","410472930","5.4","India"
"292","Himatsingka Seide","HIMATSEIDE.NS","408140281","1.37","India"
"293","Adani Total Gas","ATGL.NS","405888738","31.02","India"
"294","Graphite India","GRAPHITE.NS","404891042","4.97","India"
"295","CenturyPly","CENTURYPLY.NS","404737361","6.49","India"
"296","KIOCL","KIOCL.NS","401434997","2.4","India"
"297","Cosmo Films","COSMOFILMS.NS","400971570","12.81","India"
"298","Sheela Foam","SFL.NS","399021593","33.57","India"
"299","VA Tech Wabag","WABAG.NS","398374690","3.01","India"
"300","Honeywell Automation India","HONAUT.NS","394783501","432.55","India"
"301","Indian Hotels Company","INDHOTEL.NS","390400522","2.89","India"
"302","Engineers India","ENGINERSIN.NS","389638292","0.73","India"
"303","Sanofi India Limited","SANOFI.NS","389099254","81.35","India"
"304","Mangalore Chemicals and Fertilizers","MANGCHEFER.NS","387571411","1.34","India"
"305","India Glycols","INDIAGLYCO.NS","384097154","9.29","India"
"306","Radico Khaitan","RADICO.NS","383664694","10.66","India"
"307","Dish TV","DISHTV.NS","375262114","0.17","India"
"308","Indiabulls Housing Finance","IBULHSGFIN.NS","368498357","1.25","India"
"309","Vaibhav Global","VAIBHAVGBL.NS","368402356","3.86","India"
"310","Nilkamal","NILKAMAL.NS","365231284","24.01","India"
"311","Gujarat Mineral Development","GMDCLTD.NS","364663406","1.78","India"
"312","Orient Cement","ORIENTCEM.NS","364477187","1.49","India"
"313","Power Mech Projects","POWERMECH.NS","362194767","11.36","India"
"314","Sify","SIFY","361712841","2.02","India"
"315","Bharat Dynamics","BDL.NS","361170742","8.89","India"
"316","Oberoi Realty","OBEROIRLTY.NS","360126025","9.43","India"
"317","City Union Bank","CUB.NS","358335465","1.74","India"
"318","Huhtamaki India","HUHTAMAKI.NS","356822918","2.14","India"
"319","RITES","RITES.NS","355920770","2.91","India"
"320","Relaxo Footwear","RELAXO.NS","355015295","12.32","India"
"321","Rane Holdings","RANEHOLDIN.NS","352714676","7.92","India"
"322","GE Power India","GEPIL.NS","350885006","1.73","India"
"323","Syngene International","SYNGENE.NS","348279094","7.13","India"
"324","Indian Metals &amp; Ferro Alloys","IMFA.NS","348108364","3.48","India"
"325","Jindal Worldwide","JINDWORLD.NS","342286523","2.99","India"
"326","Prince Pipes And Fittings","PRINCEPIPE.NS","339772488","7.69","India"
"327","Elgi Equipments","ELGIEQUIP.NS","337655307","4.74","India"
"328","Aarti Drugs","AARTIDRUGS.NS","332901479","5.17","India"
"329","Tata Elxsi","TATAELXSI.NS","330533019","103.6","India"
"330","Hudco","HUDCO.NS","329579422","0.44","India"
"331","Religare","RELIGARE.NS","327566419","1.54","India"
"332","Orient Electric","ORIENTELEC.NS","327306970","3.41","India"
"333","KPIT Technologies","KPITTECH.NS","325447762","6.65","India"
"334","SJVN","SJVN.NS","324276175","0.35","India"
"335","WABCO India","WABCOINDIA.NS","324209633","97.94","India"
"336","Shankara Building","SHANKARA.NS","323216791","8.66","India"
"337","GTPL Hathway","GTPL.NS","323088682","1.81","India"
"338","CRISIL","CRISIL.NS","321280989","40.72","India"
"339","VRL Logistics","VRLLOG.NS","320179259","7.93","India"
"340","Bata India","BATAINDIA.NS","319339879","21.2","India"
"341","Tata Coffee","TATACOFFEE.NS","314575023","2.54","India"
"342","Gabriel India","GABRIEL.NS","312084220","1.69","India"
"343","Praj Industries","PRAJIND.NS","311640848","4.57","India"
"344","Sandhar","SANDHAR.NS","310731707","3.15","India"
"345","Ramkrishna Forgings","RKFORGE.NS","309600091","2.08","India"
"346","Spencer's Retail","SPENCERS.NS","307885441","0.91","India"
"347","Heidelbergcement India","HEIDELBERG.NS","305604450","2.21","India"
"348","Subros","SUBROS.NS","299310288","3.91","India"
"349","Timken India","TIMKEN.NS","294583722","31.15","India"
"350","HEG","HEG.NS","294335403","12.91","India"
"351","Gulf Oil Lubricants","GULFOILLUB.NS","293084310","5.11","India"
"352","Mastek","MASTEK.NS","292165970","26.57","India"
"353","Kirloskar Ferrous Industries","KIRLFER.NS","292054786","2.56","India"
"354","Sudarshan Chemical","SUDARSCHEM.NS","292004696","5.33","India"
"355","Devyani International","DEVYANI.NS","291491663","1.89","India"
"356","INEOS Styrolution","INEOSSTYRO.NS","291446076","9.69","India"
"357","JCI Hitachi India","JCHAC.NS","288560320","19.79","India"
"358","MakeMyTrip","MMYT","285875000","26.21","India"
"359","KCP Limited","KCP.NS","282196329","1.35","India"
"360","Dr Lal PathLabs","LALPATHLAB.NS","279485510","28.07","India"
"361","Somany Ceramics","SOMANYCERA.NS","278501118","7.2","India"
"362","Jay Bharat Maruti","JAYBARMARU.NS","277923351","1.8","India"
"363","Bodal Chemicals","BODALCHEM.NS","274229833","1.09","India"
"364","Shriram Pistons &amp; Rings","SHRIPISTON.NS","270713607","8.29","India"
"365","Grindwell Norton","GRINDWELL.NS","268369726","20.9","India"
"366","Zydus Wellness","ZYDUSWELL.NS","265810123","19.81","India"
"367","Natco Pharma","NATCOPHARM.NS","259992516","8.06","India"
"368","Hikal","HIKAL.NS","257736511","3.28","India"
"369","Dhampur Sugar Mills","DHAMPURSUG.NS","257569608","2.81","India"
"370","Parag Milk Foods","PARAGMILK.NS","255680741","0.99","India"
"371","Siyaram Silk Mills","SIYSIL.NS","254536430","6.28","India"
"372","I.g. Petrochemicals","IGPL.NS","251867535","7.71","India"
"373","Indian Railway Catering & Tourism","IRCTC.NS","250945532","7.73","India"
"374","Fine Organics","FINEORG.NS","250732637","61.61","India"
"375","Southern Petrochemical Industries Corp","SPIC.NS","250129124","0.63","India"
"376","Rico Auto Industries","RICOAUTO.NS","248790926","0.57","India"
"377","Indian Telephone Industries","ITI.NS","247297805","1.3","India"
"378","Suprajit Engineering","SUPRAJIT.NS","246211723","4.18","India"
"379","Hindustan Copper","HINDCOPPER.NS","243591860","1.13","India"
"380","Godrej Properties","GODREJPROP.NS","241931990","15.21","India"
"381","Srikalahasthi Pipes","SRIPIPES.NS","240850029","2.65","India"
"382","Hathway","HATHWAY.NS","239672283","0.21","India"
"383","Azure Power","AZRE","237123136","12.21","India"
"384","Lumax Industries","LUMAXIND.NS","234104084","16.43","India"
"385","Greenlam Industries","GREENLAM.NS","227886477","4.13","India"
"386","Mirza International","MIRZAINT.NS","224575939","2.99","India"
"387","Nectar Lifesciences","NECLIFE.NS","223204897","0.29","India"
"388","Skipper Limited","SKIPPER.NS","221572854","0.7","India"
"389","Action Construction Equipment","ACE.NS","217828373","2.7","India"
"390","Greenpanel Industries","GREENPANEL.NS","217327842","5.42","India"
"391","Texmaco Rail &amp; Engineering","TEXRAIL.NS","216938270","0.53","India"
"392","Jagran Prakashan","JAGRAN.NS","216205709","0.63","India"
"393","Info Edge","NAUKRI.NS","212461557","48.13","India"
"394","JTEKT India","JTEKTINDIA.NS","212454371","1.02","India"
"395","Spandana Sphoorty Financial","SPANDANA.NS","211564529","5.2","India"
"396","Mangalam Cement","MANGLMCEM.NS","209070387","3.48","India"
"397","Asian Granito India","ASIANTILES.NS","209064327","0.52","India"
"398","Greenply","GREENPLY.NS","209009365","2.15","India"
"399","Tide Water Oil","TIDEWATER.NS","205377583","13.15","India"
"400","Schneider Electric Infrastructure","SCHNEIDER.NS","204897517","1.3","India"
"401","FDC India","FDC.NS","204630214","3.04","India"
"402","KSB ltd","KSB.NS","202951366","18.52","India"
"403","Indoco Remedies","INDOCO.NS","201211141","4.67","India"
"404","NACL Industries","NACLIND.NS","200132577","0.97","India"
"405","Phoenix Mills","PHOENIXLTD.NS","199887077","15.49","India"
"406","Gati","GATI.NS","199374483","1.71","India"
"407","Automotive Axles","AUTOAXLES.NS","199028627","20.62","India"
"408","Rupa Company","RUPA.NS","196211228","4.5","India"
"409","GTL Infrastructure","GTLINFRA.NS","195780602","0.01","India"
"410","Cera Sanitaryware","CERA.NS","192886914","52.33","India"
"411","Hindustan Sanitaryware &amp; Industries","HSIL.NS","192819839","3.79","India"
"412","MOIL","MOIL.NS","191950667","1.81","India"
"413","Confidence Petroleum","CONFIPET.NS","191006483","0.6","India"
"414","Gallantt Ispat","GALLISPAT.NS","190421464","0.82","India"
"415","PB Fintech","POLICYBZR.NS","189465220","7.5","India"
"416","Sequent Scientific","SEQUENT.NS","189017976","1.23","India"
"417","Marksans Pharma","MARKSANS.NS","188189675","0.54","India"
"418","CSB Bank","CSBBANK.NS","188030610","2.51","India"
"419","Federal-Mogul Goetze","FMGOETZE.NS","179654768","3.57","India"
"420","Gateway Distriparks","GDL.NS","179620668","3.76","India"
